review_title,review_text,high_satisfaction,reconstruction_error,product_name,brand_name
!!!!,amanzing!! so hydrating,1,0.00891260962280462,Rosebud Salve in a Tube,Rosebud Perfume Co.
,so thin. i have to put oil on after. will not buy again.,0,0.008606623550955367,Goat Milk Moisturizing Cream,Kate Somerville
,super hydrating!! i love it:),1,0.007480271536190471,Jet Lag Mask,Summer Fridays
only toner i use,"amazing, so hydrating smells great. only toner i use",1,0.007447039897504674,Aqua Bomb Hydrating Toner,belif
worth it,worth the price and very gentle on the skin,1,0.00742221912321353,Mini Superfood Antioxidant Cleanser,Youth To The People
,"loved it, not at all sticky.",1,0.0072469171731947175,Mini PLAY Everyday Lotion SPF 50 with Sunflower Extract,Supergoop!
super hydrating,love this cream!!! it’s super hydrating and leaves the skin feeling super nice soft and hydrating!!,1,0.007195863726668882,Essential Energy Hydrating Day Cream Broad Spectrum SPF 20,Shiseido
"buy, buy and buy again",love this stuff! my face feels so smooth/glowy after and my makeup goes on super smooth.,1,0.006826981746175086,Resurfacing BHA Glow Mask,Tata Harper
,❤️ this product.... feels smooth and helps with my fine lines,1,0.006814610325599657,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant
,i use this product every day!,1,0.006752061013187919,Dramatically Different Moisturizing Lotion+,CLINIQUE
too much,i felt it was too much oil. i felt i was washing my already oil skin with more oil.,0,0.006746398998212488,Mini Oat Cleansing Balm,The INKEY List
,"super moisturizing, easy to apply and love the packaging",1,0.006707277461491733,Jet Lag Mask,Summer Fridays
,love it! my skin is super smooth.,1,0.006600403203270242,Virgin Marula Luxury Face Oil,Drunk Elephant
,this product works very well...if you can get it out of the bottle.,0,0.006556975010480246,T.L.C. Sukari Babyfacial AHA + BHA Mask,Drunk Elephant
,super refreshing and hydrating!! love using these after a long day of work. also smells super good too :)),1,0.006531342151164471,Clean Eye Mask,SEPHORA COLLECTION
,i found this product very moisturizing and absolutely love the smell.,1,0.006485011874958261,Brazilian Kiss Cupuaçu Lip Butter,Sol de Janeiro
it's so good,"i loved this moisturizer. it’s light. not sticky at all. and it has a light pleasant smell. i have used it for the last week and i can say my makeup looks better, my skin feels better. i loved it",1,0.006461101693017541,Hydra Zen Glow Liquid Lightweight Moisturizer with Hyaluronic Acid,Lancôme
,i love this stuff. it works so well.,1,0.00644058967835369,Rosebud Salve,Rosebud Perfume Co.
,my new holy grail! my skin feels so soft and hydrated after one use!,1,0.006282377397747774,Aqua Bomb Sleeping Mask,belif
,love it!!! its very hydrating and its not sticky,1,0.006231160014207086,Ultra Facial Moisturizing Cream with Squalane,Kiehl's Since 1851
,love it !! it’s worth to buy !! i will buy again . my skin is glow and new smooth. love it .,1,0.006229685496431875,Daily Microfoliant Exfoliator,Dermalogica
,this product is the best. it did not dry out my skin and it smells great.,1,0.006209596134667728,10% Benzoyl Peroxide Acne Cleanser,Dr. Zenovia Skincare
,perfect perfect product really love sooooo much amazing effect perfect perfect,1,0.006132796086474178,Aqua Bomb Brightening Vitamin C Cream,belif
,it helped my skin with redness a lot! it is hydrating as well,1,0.006132642817212027,Cica Sleeping Mask,LANEIGE
favorite,"i love their products, but this is my favorite by far. my skin feels so hydrated. pores are almost nonexistent. love it!",1,0.0061283875160429305,Watermelon Glow PHA + BHA Pore-Tight Toner,Glow Recipe
loved,i had never used a mask like this but i really loved it. my face felt so smooth afterwards,1,0.006100816742945759,Pore Remedy Purifying Mud Mask,Dr. Jart+
,i got this as a sample and had to purchase the full size. it is so moisturizing and smells so good.,1,0.006064889401773287,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE
,amazing toner in just a couple of days i noticed a difference and leaves your face feeling tight and soft. highly recommend this toner,1,0.006043614015912961,Glow2OH Dark Spot Toner,OLEHENRIKSEN
very moisturizing,i love how great this felt on my skin! it was so moisturizing and felt very hydrating. i will definitely purchase it again in the future.,1,0.006032917311424945,Confidence in a Cream Anti-Aging Hydrating Moisturizer,IT Cosmetics
good for,i love how hydrating this stuff is. i use it on my decatolage as well.,1,0.006019377860183043,The True Cream Aqua Bomb,belif
,for me this product did nothing. i don’t see a difference. it is not worth the money ..,0,0.006004919772962427,MINI GINZING VITAMIN C EYE CREAM TO BRIGHTEN AND DEPUFF,Origins
worth the money,extremely hydrating and smooth on lips! definitely worth it.,1,0.006001385001518669,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE
,"this is a nice moisturizing toner, light and good for daily use",1,0.005957317787995251,Essential Comfort Balancing Water,Sulwhasoo
,i love how my skin looks after using it. i would buy again!,1,0.005923744190647975,Double Serum Firming & Smoothing Anti-Aging Concentrate,Clarins
loved it,left my skin feeling hydrated and smooth throughout the day and was very lightweight !,1,0.00592172971365777,The True Cream Aqua Bomb,belif
does the job,works like every other i’ve ever used.,1,0.005864294452023116,Clarifying Lotion 1,CLINIQUE
,i got this as sample. i love using it. i am using it for a week. my skin has started to glow. loved it,1,0.005851490617829563,Salicylic Acid Acne + Pore Cleanser,The INKEY List
,love it great price and does the job! highly recommend,1,0.005845914276516682,Hyaluronic Acid 2% + B5 Hydrating Serum,The Ordinary
holy grail!,favorite facial oil! i use this daily- am and pm. little goes along way. one of my favorite de products. holy grail!,1,0.005788621039322634,Virgin Marula Luxury Face Oil,Drunk Elephant
gentle yet effective,"no scent, gentle but does a good job removing make up.",1,0.005761773755233358,Cleansing Spa Water Cloths,Koh Gen Do
loved it,smell very nice! feels great! perfect,1,0.005760021289049908,Essential-C Cleanser,Murad
,"it’s super easy to clean my make up , left my skin so soft and fresh . i just love it",1,0.00574192712636854,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy
this product works for me,works great. my skin feels very soft. it is very gentle to my skin.,1,0.005700440025018151,Sake Toning Essence,Shani Darden Skin Care
,it doesn’t work!……………………………………………………………………………………………………………………..,0,0.005699285750492578,Caffeine 5% + EGCG Depuffing Eye Serum,The Ordinary
,"very hydrating, did not make my skin look greasy after, great product for a great price",1,0.005688014671987901,Natural Moisturizing Factors + HA,The Ordinary
,"very hydrating, leaves lips smooth the next day.",1,0.005670921709045069,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE
"do it, just buy it!! amazing!!",this has been my holy grail face wash for years!!,1,0.005647254024415774,Checks and Balances Frothy Face Wash,Origins
lovvveeee,this product is so good! it feels super nice and moisturizing. it also works well as a primer for my makeup! i got this as a free sample and i’m definitely purchasing the full size!,1,0.005631256506242403,The True Cream Aqua Bomb,belif
not moisturizing,not really moisturizing. my skin has been pretty dry and i’ve been using this for a month.,0,0.005628327549745137,The Water Cream Oil-Free Pore Minimizing Moisturizer,Tatcha
,love how my skin looks after i use this every time.,1,0.0055803747419692,Violet-C Radiance Mask,Tatcha
love this,this is a great product. it feels light yet very moisturizing.,1,0.005562660742319815,Repairwear Intensive Lip Treatment,CLINIQUE
,i loved this product. the scent was amazing. i used it in the morning.,1,0.005529915416476617,Vinopure Pore Purifying Gel Cleanser,Caudalie
easy to use,feels very light and doesn’t leave skin feeling sticky. recommend.,1,0.005528037430741334,"UV Expert Aquagel Defense Sunscreen, Primer & Moisturizer SPF 50 Duo",Lancôme
