term,coefficient,direction,rank
not,-11.864998811870356,negative,1
not worth,-11.221475394582974,negative,2
to love,-10.930988345265778,negative,3
disappointed,-9.578996953395784,negative,4
meh,-9.53499473109908,negative,5
unfortunately,-8.721868804098035,negative,6
okay,-7.621171055383145,negative,7
not for,-7.492827172842308,negative,8
disappointing,-6.913857607532988,negative,9
ok,-6.733296865949005,negative,10
broke,-6.629921514404113,negative,11
horrible,-6.488417893639541,negative,12
didn,-6.251808377560415,negative,13
not great,-6.24326014750385,negative,14
no difference,-6.164680103374442,negative,15
returning,-6.161939067060735,negative,16
worst,-5.903866750983618,negative,17
returned,-5.7945535723766355,negative,18
sadly,-5.638017631740754,negative,19
awful,-5.590721415018338,negative,20
pills,-5.38608525964596,negative,21
worse,-5.357356203267962,negative,22
had to,-5.320754459814543,negative,23
not recommend,-5.309369191072897,negative,24
however,-5.303764656010718,negative,25
