term,coefficient,direction,rank
love,11.29659401433046,positive,25
amazing,9.365038159867929,positive,24
great,9.331093291859895,positive,23
perfect,9.062631125668972,positive,22
love this,8.234604379074398,positive,21
best,7.053322726179295,positive,20
love it,6.731244799723148,positive,19
highly recommend,6.699723751819338,positive,18
without,6.502491416909821,positive,17
really like,6.363673149439373,positive,16
soft,5.912626643122329,positive,15
awesome,5.786638156072384,positive,14
must,5.5556064538281404,positive,13
wonderful,5.40269962661778,positive,12
not greasy,5.352477588454317,positive,11
excellent,5.351246859569756,positive,10
definitely,5.301446435798401,positive,9
highly,5.300726687716795,positive,8
works,5.104245846232749,positive,7
not too,4.839085725241426,positive,6
helps,4.793983056160592,positive,5
wow,4.744852991947076,positive,4
happy,4.700511505675139,positive,3
fantastic,4.493012348295533,positive,2
better than,4.460387876422073,positive,1
